tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
DE5,563D-g80,140,140,0,,,,,1252.0,599.0,0.0047644417,8.94,8,271.0,981.0,139.0,460.0,231,4342,33.0,210.0,2.0,13.0,170.0,191.0,170.0,15.0,8.0,7.0,410.0,23.0,26.0,140.0,2.0,13.0,48.0,113.0,78.0,14.0,7.0,7.0,129.0,22.0
DE5,564A-g0,180,180,0,,,,,1143.0,372.0,0.0033830581,6.35,5,261.0,882.0,53.0,319.0,171,5261,3.0,217.0,1.0,1.0,238.0,183.0,190.0,4.0,4.0,4.0,292.0,6.0,3.0,133.0,1.0,1.0,34.0,94.0,30.0,3.0,2.0,4.0,62.0,5.0
DE5,564A-g40,241,241,0,,,,,2259.0,848.0,0.0049938434,9.37,9,318.0,1941.0,80.0,768.0,226,7200,11.0,677.0,3.0,6.0,259.0,442.0,313.0,12.0,6.0,11.0,509.0,10.0,10.0,337.0,3.0,5.0,34.0,227.0,70.0,9.0,4.0,6.0,134.0,9.0
DE5,564B-g0,174,174,0,,,,,994.0,401.0,0.0030434969,5.71,5,105.0,889.0,51.0,350.0,57,5081,10.0,299.0,1.0,2.0,62.0,178.0,54.0,3.0,3.0,4.0,358.0,20.0,6.0,158.0,1.0,2.0,25.0,92.0,24.0,3.0,3.0,3.0,76.0,8.0
DE5,564B-g128,541,541,0,,,,,8595.0,1499.0,0.0084641693,15.89,16,349.0,8246.0,183.0,1316.0,321,19254,41.0,3465.0,6.0,12.0,12.0,2115.0,753.0,22.0,46.0,19.0,1913.0,191.0,27.0,519.0,5.0,9.0,12.0,443.0,153.0,17.0,35.0,10.0,201.0,68.0
DE5,564B-g40,14,14,0,,,,,122.0,90.0,0.0046426669,8.71,7,12.0,110.0,12.0,78.0,2,391,1.0,33.0,0.0,0.0,7.0,27.0,16.0,0.0,1.0,0.0,34.0,3.0,1.0,27.0,0.0,0.0,7.0,23.0,10.0,0.0,1.0,0.0,18.0,3.0
DE5,564B-g80,317,317,0,,,,,3697.0,1123.0,0.0062133514,11.66,11,287.0,3410.0,106.0,1017.0,183,10077,18.0,1413.0,3.0,6.0,171.0,818.0,325.0,5.0,9.0,13.0,854.0,62.0,12.0,442.0,3.0,6.0,40.0,332.0,93.0,4.0,9.0,6.0,150.0,26.0
DE5,564C-g0,256,255,0,,,,,1843.0,529.0,0.0038354921,7.2,6,217.0,1626.0,60.0,469.0,60,7354,2.0,571.0,2.0,1.0,190.0,394.0,126.0,4.0,7.0,7.0,535.0,4.0,2.0,206.0,2.0,1.0,38.0,146.0,49.0,3.0,6.0,5.0,68.0,3.0
DE5,564C-g128,1147,1147,0,,,,,18460.0,1822.0,0.0085744053,16.09,16,765.0,17695.0,348.0,1474.0,716,40636,103.0,8080.0,11.0,26.0,63.0,4684.0,1356.0,40.0,75.0,32.0,3575.0,415.0,57.0,558.0,10.0,17.0,49.0,498.0,177.0,24.0,44.0,21.0,241.0,126.0
DE5,564C-g40,488,488,0,,,,,4863.0,1138.0,0.0053090911,9.97,10,368.0,4495.0,112.0,1026.0,171,14919,16.0,1808.0,4.0,6.0,216.0,1087.0,362.0,14.0,19.0,19.0,1238.0,74.0,12.0,444.0,3.0,6.0,36.0,329.0,95.0,6.0,12.0,9.0,158.0,28.0
DE5,564C-g80,313,313,0,,,,,3853.0,1128.0,0.0065582867,12.31,12,224.0,3629.0,123.0,1005.0,154,10846,19.0,1512.0,1.0,11.0,93.0,928.0,311.0,14.0,18.0,17.0,878.0,51.0,18.0,432.0,1.0,10.0,31.0,322.0,97.0,10.0,16.0,7.0,154.0,30.0
DE5,564D-g0,175,175,0,,,,,993.0,376.0,0.0030230611,5.67,5,105.0,888.0,45.0,331.0,86,5265,2.0,351.0,0.0,2.0,82.0,102.0,93.0,5.0,5.0,7.0,342.0,2.0,2.0,158.0,0.0,2.0,26.0,85.0,29.0,5.0,4.0,4.0,59.0,2.0
DE5,564D-g128,853,853,0,,,,,12658.0,1626.0,0.0079059086,14.84,15,510.0,12148.0,229.0,1397.0,906,29684,107.0,5334.0,55.0,28.0,70.0,2856.0,1162.0,42.0,47.0,41.0,2796.0,120.0,31.0,542.0,7.0,22.0,25.0,468.0,176.0,22.0,32.0,17.0,211.0,73.0
DE5,564D-g40,471,471,0,,,,,3999.0,1107.0,0.0045234128,8.49,8,386.0,3613.0,114.0,993.0,283,13898,14.0,1580.0,3.0,6.0,286.0,662.0,315.0,15.0,21.0,13.0,1056.0,28.0,14.0,421.0,3.0,5.0,30.0,323.0,96.0,11.0,16.0,7.0,153.0,28.0
DE5,564D-g80,395,395,0,,,,,4428.0,1241.0,0.0059723637,11.21,11,214.0,4214.0,126.0,1115.0,319,13373,17.0,1828.0,2.0,5.0,98.0,905.0,407.0,14.0,17.0,15.0,1074.0,46.0,16.0,459.0,2.0,5.0,30.0,376.0,116.0,11.0,16.0,7.0,164.0,39.0
DE5,594A-g0,253,253,0,,,,,2871.0,1058.0,0.0060457251,11.35,11,762.0,2109.0,370.0,688.0,473,7140,149.0,226.0,27.0,71.0,282.0,175.0,596.0,123.0,25.0,50.0,1112.0,35.0,91.0,155.0,22.0,50.0,43.0,129.0,181.0,84.0,16.0,35.0,223.0,29.0
DE5,594A-g40,160,160,0,,,,,3290.0,1353.0,0.0109549814,20.56,19,925.0,2365.0,468.0,885.0,514,4342,174.0,312.0,24.0,84.0,331.0,301.0,655.0,178.0,28.0,64.0,1097.0,42.0,128.0,218.0,16.0,70.0,56.0,211.0,212.0,100.0,24.0,44.0,244.0,30.0
