,generation,,,,,,,,,,,
3E,DE5-mScarlettI-flipped_615A-g0,,,DE5-mScarlettI-flipped_615A-g40,,,,DE5-mScarlettI-flipped_615A-g80,,,,DE5-mScarlettI-flipped_615A-g128
BB-3A,DE5-mScarlettI-flipped_616A-g0,,,DE5-mScarlettI-flipped_616A-g40,,,,DE5-mScarlettI-flipped_616A-g80,,,,DE5-mScarlettI-flipped_616A-g128
BB-3A,DE5-mScarlettI-flipped_616C-g0,,,DE5-mScarlettI-flipped_616C-g40,,,,DE5-mScarlettI-flipped_616C-g80,,,,DE5-mScarlettI-flipped_616C-g128
BB-3A,DE5-mScarlettI-flipped_616D-g0,,,DE5-mScarlettI-flipped_616D-g40,,,,DE5-mScarlettI-flipped_616D-g80,,,,DE5-mScarlettI-flipped_616D-g128
BB-3A,DE5-mScarlettI-flipped_616B-g0,,,DE5-mScarlettI-flipped_616B-g40,,,,DE5-mScarlettI-flipped_616B-g80,,,,DE5-mScarlettI-flipped_616B-g128
BB-3B,DE5-mScarlettI-flipped_617A-g0,,,DE5-mScarlettI-flipped_617A-g40,,,,DE5-mScarlettI-flipped_617A-g80,,,,DE5-mScarlettI-flipped_617A-g128
BB-3B,DE5-mScarlettI-flipped_617B-g0,,,DE5-mScarlettI-flipped_617B-g40,,,,DE5-mScarlettI-flipped_617B-g80,,,,DE5-mScarlettI-flipped_617B-g128
BB-3B,DE5-mScarlettI-flipped_617C-g0,,,DE5-mScarlettI-flipped_617C-g40,,,,DE5-mScarlettI-flipped_617C-g80,,,,DE5-mScarlettI-flipped_617C-g128
BB-3B,DE5-mScarlettI-flipped_617D-g0,,,DE5-mScarlettI-flipped_617D-g40,,,,DE5-mScarlettI-flipped_617D-g80,,,,DE5-mScarlettI-flipped_617D-g128
BB-Tv,DE5-mScarlettI-flipped_618C-g0,,,DE5-mScarlettI-flipped_618C-g40,,,,DE5redo-mScarlettI-flipped_618C-g80,,,,DE5redo-mScarlettI-flipped_618C-g128
BB-Tv,DE5-mScarlettI-flipped_618B-g0,,,DE5-mScarlettI-flipped_618B-g40,,,,DE5-mScarlettI-flipped_618B-g80,,,,DE5redo-mScarlettI-flipped_618B-g128
BB-Tv,DE5-mScarlettI-flipped_618A-g0,,,DE5-mScarlettI-flipped_618A-g40,,,,DE5-mScarlettI-flipped_618A-g80,,,,DE5redo-mScarlettI-flipped_618A-g128
BB-Tv,DE5-mScarlettI-flipped_618D-g0,,,DE5-mScarlettI-flipped_618D-g40,,,,DE5-mScarlettI-flipped_618D-g80,,,,DE5redo-mScarlettI-flipped_618D-g128
BB-5k,DE5-mScarlettI-flipped_619D-g0,,DE5-mScarlettI-flipped_619D-g32,,,DE5-mScarlettI-flipped_619D-g64,,,,DE5redo-mScarlettI-flipped_619D-g112,,
BB-5k,DE5-mScarlettI-flipped_619C-g0,,DE5-mScarlettI-flipped_619C-g32,,,DE5-mScarlettI-flipped_619C-g64,,,,DE5redo-mScarlettI-flipped_619C-g112,,
BB-5k,DE5-mScarlettI-flipped_619B-g0,,DE5-mScarlettI-flipped_619B-g32,,,DE5-mScarlettI-flipped_619B-g64,,,,DE5redo-mScarlettI-flipped_619B-g112,,
BB-5k,DE5-mScarlettI-flipped_619A-g0,,DE5-mScarlettI-flipped_619A-g32,,,DE5-mScarlettI-flipped_619A-g64,,,,DE5redo-mScarlettI-flipped_619A-g112,,
BB-3E,DE5-mScarlettI-flipped_620B-g0,DE5-mScarlettI-flipped_620B-g24,,,DE5-mScarlettI-flipped_620B-g56,,,,DE5redo-mScarlettI-flipped_620B-g104,,,
BB-3E,DE5-mScarlettI-flipped_620A-g0,DE5-mScarlettI-flipped_620A-g24,,,DE5-mScarlettI-flipped_620A-g56,,,,DE5redo-mScarlettI-flipped_620A-g104,,,
BB-3E,DE5-mScarlettI-flipped_620C-g0,DE5-mScarlettI-flipped_620C-g24,,,DE5redo-mScarlettI-flipped_620C-g56,,,,DE5redo-mScarlettI-flipped_620C-g104,,,
BB-3E,DE5-mScarlettI-flipped_620D-g0,DE5-mScarlettI-flipped_620D-g24,,,DE5-mScarlettI-flipped_620D-g56,,,,DE5redo-mScarlettI-flipped_620D-g104,,,
